id,completed,decision jumps,jump value,run value,jump moves,moves,falls,jumps,time,totalTime
0,0,2,10,0.025,0,0,161,540,60.7397,1503.48
1,0,2,10,0.05,0,0,122,410,49.9177,1144.06
2,0,2,10,0.075,0,0,81,274,36.1229,773.794
3,0,2,10,0.1,0,0,74,240,32.9998,681.128
4,0,2,10,0.125,0,0,61,186,28.9415,536.736
5,0,2,10,0.15,0,0,56,174,27.1045,499.332
6,0,2,10,0.175,0,0,49,148,28.6576,431.024
7,0,2,10,0.2,0,0,43,136,26.8205,398.723
8,0,2,10,0.225,0,0,43,122,26.8205,357.557
9,0,2,10,0.25,0,0,41,116,26.8205,341.382
10,0,2,10,0.275,0,0,33,100,21.7936,296.711
11,0,2,10,0.3,0,0,33,98,21.7936,289.6
12,0,2,10,0.325,0,0,31,88,21.7936,263.008
13,0,2,10,0.35,0,0,30,84,21.7936,250.788
14,0,2,10,0.375,0,0,15,58,18.0359,175.218
15,0,2,10,0.4,0,0,15,58,18.0359,175.218
16,0,2,10,0.425,0,0,15,56,18.0359,172.965
17,0,2,10,0.45,0,0,15,54,18.0359,165.854
18,0,2,10,0.475,0,0,15,48,15.5476,149.478
19,0,2,10,0.5,0,0,13,46,15.5476,144.069
20,0,2,10,0.525,0,0,11,42,15.5476,128.494
21,0,2,10,0.55,0,0,11,42,15.5476,128.494
22,0,2,10,0.575,0,0,10,38,15.5476,120.679
23,0,2,10,0.6,0,0,10,38,15.5476,120.679
24,0,2,10,0.625,0,0,10,38,15.5476,120.679
25,0,2,10,0.65,0,0,10,38,15.5476,120.679
26,0,2,10,0.675,0,0,10,38,15.5476,120.679
27,0,2,10,0.7,0,0,10,36,15.5476,115.318
28,0,2,10,0.725,0,0,10,36,16.8001,114.115
29,0,2,10,0.75,0,0,10,36,16.8001,114.115
30,0,2,10,0.775,0,0,10,36,16.8001,114.115
31,0,2,10,0.8,0,0,10,36,16.8001,114.115
32,0,2,10,0.825,0,0,10,36,16.8001,114.115
33,0,2,10,0.85,0,0,10,36,16.8001,114.115
34,0,2,10,0.875,0,0,10,36,16.8001,114.115
35,0,2,10,0.9,0,0,10,36,16.8001,114.115
36,0,2,10,0.925,0,0,10,36,16.8001,114.115
37,0,2,10,0.95,0,0,11,34,17.1007,109.656
38,0,2,10,0.975,0,0,11,34,17.1007,109.656
39,0,2,10,1,0,0,7,28,16.75,88.5298
40,0,4,10,0.025,0,0,1002,2144,234.262,5467.79
41,0,4,10,0.05,0,0,768,1628,193.514,4169.9
42,0,4,10,0.075,0,0,534,1096,141.181,2843.91
43,0,4,10,0.1,0,0,462,960,126.641,2495.46
44,0,4,10,0.125,0,0,346,732,109.022,1903.37
45,0,4,10,0.15,0,0,341,692,103.444,1827.23
46,0,4,10,0.175,0,0,102,288,25.1672,684.155
47,0,4,10,0.2,0,0,255,528,97.5816,1409.58
48,0,4,10,0.225,0,0,85,236,27.5053,567.759
49,0,4,10,0.25,0,0,81,232,29.0584,556.437
50,0,4,10,0.275,0,0,73,204,22.8959,489.75
51,0,4,10,0.3,0,0,72,200,22.8959,475.644
52,0,4,10,0.325,0,0,63,176,20.6246,426.884
53,0,4,10,0.35,0,0,61,168,20.6246,405.517
54,0,4,10,0.375,0,0,59,160,20.6246,389.408
55,0,4,10,0.4,0,0,84,204,40.2646,510.917
56,0,4,10,0.425,0,0,78,184,40.131,467.749
57,0,4,10,0.45,0,0,79,184,40.3147,467.932
58,0,4,10,0.475,0,0,45,128,22.7957,317.561
59,0,4,10,0.5,0,0,45,132,23.1464,323.988
60,0,4,10,0.525,0,0,42,128,23.5973,312.052
61,0,4,10,0.55,0,0,40,124,23.5973,306.042
62,0,4,10,0.575,0,0,41,120,23.9313,301.118
63,0,4,10,0.6,0,0,42,116,23.5973,288.348
64,0,4,10,0.625,0,0,35,104,21.7602,258.3
65,0,4,10,0.65,0,0,35,104,21.7602,260.554
66,0,4,10,0.675,0,0,36,104,22.3948,260.554
67,0,4,10,0.7,0,0,57,144,34.3359,368.091
68,0,4,10,0.725,0,0,64,140,34.3359,366.421
69,0,4,10,0.75,0,0,57,136,34.3359,357.908
70,0,4,10,0.775,0,0,56,132,34.3359,346.139
71,0,4,10,0.8,0,0,56,132,34.3359,346.139
72,0,4,10,0.825,0,0,56,128,33.9017,335.806
73,0,4,10,0.85,0,0,54,124,33.9017,328.044
74,0,4,10,0.875,0,0,53,124,33.9017,328.044
75,0,4,10,0.9,0,0,53,124,33.9017,328.044
76,0,4,10,0.925,0,0,38,96,24.5659,253.225
77,0,4,10,0.95,0,0,41,96,24.8833,256.631
78,0,4,10,0.975,0,0,36,92,25.1338,245.196
79,0,4,10,1,0,0,36,92,25.1338,245.196
80,0,6,10,0.025,0,0,1443,3216,189.341,7810.92
81,0,6,10,0.05,0,0,1081,2424,149.878,5894.37
82,0,6,10,0.075,0,0,758,1644,116.053,4045.09
83,0,6,10,0.1,0,0,630,1446,102.141,3547.89
84,0,6,10,0.125,0,0,522,1128,86.6092,2787.98
85,0,6,10,0.15,0,0,464,1038,89.8658,2573.66
86,0,6,10,0.175,0,0,395,864,78.7766,2157.01
87,0,6,10,0.2,0,0,381,822,92.0703,2064.25
88,0,6,10,0.225,0,0,330,720,73.7997,1796.9
89,0,6,10,0.25,0,0,301,672,80.7973,1685.77
90,0,6,10,0.275,0,0,284,600,65.6498,1513.41
91,0,6,10,0.3,0,0,256,576,63.3284,1432.42
92,0,6,10,0.325,0,0,242,528,67.1027,1324.3
93,0,6,10,0.35,0,0,233,522,63.3284,1307.23
94,0,6,10,0.375,0,0,211,462,61.2241,1154.52
95,0,6,10,0.4,0,0,218,474,70.3093,1201.05
96,0,6,10,0.425,0,0,132,336,42.6194,795.585
97,0,6,10,0.45,0,0,120,312,46.5107,749.377
98,0,6,10,0.475,0,0,119,294,44.3897,708.622
99,0,6,10,0.5,0,0,123,282,40.0475,681.58
100,0,6,10,0.525,0,0,172,372,67.5871,977.621
101,0,6,10,0.55,0,0,139,330,51.6879,834.584
102,0,6,10,0.575,0,0,141,324,49.7841,814.332
103,0,6,10,0.6,0,0,131,318,49.0158,786.42
104,0,6,10,0.625,0,0,125,306,51.8884,751.852
105,0,6,10,0.65,0,0,120,300,51.8717,737.102
106,0,6,10,0.675,0,0,120,288,51.8717,710.077
107,0,6,10,0.7,0,0,124,288,51.855,720.027
108,0,6,10,0.725,0,0,113,276,51.9552,688.303
109,0,6,10,0.75,0,0,111,270,51.9385,677.416
110,0,6,10,0.775,0,0,45,138,21.5431,317.327
111,0,6,10,0.8,0,0,45,138,21.5431,317.327
112,0,6,10,0.825,0,0,44,138,21.3594,316.042
113,0,6,10,0.85,0,0,44,138,21.3594,316.042
114,0,6,10,0.875,0,0,45,144,21.5097,331.566
115,0,6,10,0.9,0,0,45,144,23.9814,335.389
116,0,6,10,0.925,0,0,48,144,24.9167,341.983
117,0,6,10,0.95,0,0,23,90,17.0673,205.082
118,0,6,10,0.975,0,0,24,90,17.0673,205.082
119,0,6,10,1,0,0,24,90,17.0673,205.082
120,1,8,10,0.025,26,97,1987,4800,194.182,11290.5
121,1,8,10,0.05,26,77,1511,3672,155.27,8681.5
122,1,8,10,0.075,26,62,1078,2512,129.246,6032.04
123,1,8,10,0.1,26,60,923,2184,123.251,5304.83
124,1,8,10,0.125,26,53,711,1704,108.788,4111.23
125,1,8,10,0.15,26,50,642,1560,104.646,3752.63
126,1,8,10,0.175,26,49,557,1360,102.208,3308.71
127,1,8,10,0.2,27,46,534,1248,93.874,3022.53
128,1,8,10,0.225,27,45,488,1128,94.2414,2805.85
129,1,8,10,0.25,26,44,467,1040,91.4023,2623.59
130,1,8,10,0.275,25,43,388,920,90.6842,2257.45
131,1,8,10,0.3,25,40,381,888,84.0206,2163.38
132,1,8,10,0.325,27,42,364,840,89.966,2061.61
133,1,8,10,0.35,26,38,324,784,80.7472,1911.55
134,0,8,10,0.375,0,0,190,464,51.237,1112.1
135,0,8,10,0.4,0,0,162,440,47.4627,1033.98
136,0,8,10,0.425,0,0,140,400,47.9303,919.724
137,0,8,10,0.45,0,0,86,272,26.3362,598.798
138,0,8,10,0.475,0,0,247,584,74.0836,1487.07
139,0,8,10,0.5,0,0,75,248,27.0042,546.068
140,0,8,10,0.525,0,0,65,224,27.0042,497.245
141,0,8,10,0.55,0,0,66,224,27.0042,497.245
142,0,8,10,0.575,0,0,46,176,21.2091,394.199
143,0,8,10,0.6,0,0,44,168,19.4221,380.677
144,0,8,10,0.625,0,0,45,168,15.1468,377.072
145,0,8,10,0.65,0,0,40,160,15.1468,356.489
146,0,8,10,0.675,0,0,205,480,69.9085,1257.16
147,0,8,10,0.7,0,0,57,200,17.7687,436.716
148,0,8,10,0.725,0,0,55,192,17.7687,420.641
149,0,8,10,0.75,0,0,20,104,11.0052,229.02
150,0,8,10,0.775,0,0,16,96,10.6044,206.635
151,0,8,10,0.8,0,0,13,96,11.2891,212.795
152,0,8,10,0.825,0,0,12,88,8.91774,191.461
153,0,8,10,0.85,0,0,12,88,8.91774,191.461
154,0,8,10,0.875,0,0,12,88,8.91774,191.461
155,0,8,10,0.9,0,0,12,88,8.91774,191.461
156,0,8,10,0.925,0,0,12,88,8.91774,191.461
157,0,8,10,0.95,0,0,12,88,8.91774,191.461
158,0,8,10,0.975,0,0,12,88,8.91774,191.461
159,0,8,10,1,0,0,26,104,16.7667,230.656
160,1,10,10,0.025,26,79,2338,5890,161.113,13584.4
161,1,10,10,0.05,26,67,1829,4560,136.307,10554
162,1,10,10,0.075,26,53,1281,3100,108.086,7274.32
163,1,10,10,0.1,26,52,1133,2760,107.201,6454.59
164,1,10,10,0.125,26,46,881,2168,94.3082,5129.87
165,1,10,10,0.15,26,44,802,1950,90.9848,4633.25
166,1,10,10,0.175,26,42,749,1740,88.9473,4207
167,1,10,10,0.2,26,41,673,1600,86.9766,3849.62
168,1,10,10,0.225,26,39,582,1390,81.3318,3357.4
169,1,10,10,0.25,27,40,543,1310,84.388,3160.72
170,1,10,10,0.275,26,37,494,1160,77.2568,2759.93
171,0,10,10,0.3,0,0,424,1070,76.5052,2510.67
172,1,10,10,0.325,28,40,487,1070,87.4943,2628.19
173,0,10,10,0.35,0,0,128,420,24.8833,896.478
174,0,10,10,0.375,0,0,111,400,22.1443,843.498
175,0,10,10,0.4,0,0,107,380,25.7851,802.475
176,0,10,10,0.425,0,0,99,350,26.1191,756.301
177,0,10,10,0.45,0,0,103,340,25.7851,732.57
178,0,10,10,0.475,0,0,82,310,24.282,652.447
179,0,10,10,0.5,0,0,80,310,24.282,658.886
180,0,10,10,0.525,0,0,88,310,27.8059,668.1
181,0,10,10,0.55,0,0,146,440,44.2561,1004.98
182,0,10,10,0.575,0,0,290,680,76.1378,1677.17
183,0,10,10,0.6,0,0,292,670,73.6661,1662.09
184,0,10,10,0.625,0,0,206,540,55.9466,1255.52
185,0,10,10,0.65,0,0,205,540,56.6648,1283.08
186,0,10,10,0.675,0,0,82,260,24.9334,578.345
187,0,10,10,0.7,0,0,70,250,20.7248,546.152
188,0,10,10,0.725,0,0,70,250,20.7081,546.219
189,0,10,10,0.75,0,0,71,250,18.537,546.152
190,0,10,10,0.775,0,0,68,240,18.5203,517.337
191,0,10,10,0.8,0,0,69,240,18.5203,520.648
192,0,10,10,0.825,0,0,17,120,11.3559,258.734
193,0,10,10,0.85,0,0,15,110,8.98454,232.659
194,0,10,10,0.875,0,0,15,110,8.98454,232.659
195,0,10,10,0.9,0,0,16,110,8.98454,232.659
196,0,10,10,0.925,0,0,16,110,8.98454,232.659
197,0,10,10,0.95,0,0,16,110,8.98454,232.659
198,0,10,10,0.975,0,0,16,110,8.98454,232.659
199,0,10,10,1,0,0,16,110,8.98454,232.659
200,1,12,10,0.025,25,82,3052,7440,175.419,17587.3
201,1,12,10,0.05,26,64,2272,5610,137.542,13178.6
202,1,12,10,0.075,25,59,1565,3828,127.476,9052.37
203,1,12,10,0.1,25,49,1417,3324,104.562,7898.97
204,1,12,10,0.125,25,47,1064,2592,101.857,6194.71
205,1,12,10,0.15,25,42,986,2364,91.0349,5638.32
206,1,12,10,0.175,26,38,818,2004,81.5823,4718.59
207,1,12,10,0.2,26,38,761,1896,81.9998,4465.54
208,1,12,10,0.225,27,39,672,1668,84.8556,4016.41
209,1,12,10,0.25,26,36,665,1596,77.1232,3812.96
210,1,12,10,0.275,26,42,571,1428,92.0536,3376.34
211,1,12,10,0.3,26,41,561,1356,88.7302,3203.98
212,1,12,10,0.325,26,40,543,1284,87.1102,3085.93
213,1,12,10,0.35,26,40,545,1212,86.3253,2924.85
214,1,12,10,0.375,28,38,460,1164,82.7513,2813
215,1,12,10,0.4,27,36,461,1104,76.238,2639.1
216,1,12,10,0.425,27,39,400,996,82.6511,2396.78
217,0,12,10,0.45,0,0,394,924,79.4947,2268.5
218,0,12,10,0.475,0,0,389,900,76.071,2187.55
219,0,12,10,0.5,0,0,358,876,76.5554,2132.55
220,0,12,10,0.525,0,0,290,732,60.6729,1740.6
221,0,12,10,0.55,0,0,273,708,56.932,1661.8
222,1,12,10,0.575,28,37,335,840,81.3485,2028.17
223,1,12,10,0.6,28,37,356,828,82.0833,2055.29
224,1,12,10,0.625,29,37,337,780,81.7326,1922.77
225,1,12,10,0.65,29,37,322,780,81.7326,1907.36
226,0,12,10,0.675,0,0,93,324,24.616,705.762
227,0,12,10,0.7,0,0,93,312,24.616,692.734
228,0,12,10,0.725,0,0,232,600,56.1136,1443.56
229,0,12,10,0.75,0,0,237,600,52.7568,1461.62
230,0,12,10,0.775,0,0,144,432,36.1897,979.963
231,0,12,10,0.8,0,0,137,420,33.9351,948.522
232,0,12,10,0.825,0,0,133,408,33.9351,915.259
233,0,12,10,0.85,0,0,140,396,34.2524,905.141
234,0,12,10,0.875,0,0,21,132,9.03464,273.908
235,0,12,10,0.9,0,0,21,132,9.03464,273.908
236,0,12,10,0.925,0,0,21,132,9.03464,273.908
237,0,12,10,0.95,0,0,21,132,9.03464,273.908
238,0,12,10,0.975,0,0,21,132,9.03464,273.908
239,0,12,10,1,0,0,21,132,9.03464,273.908
240,1,14,10,0.025,26,83,3349,8486,174.551,19950.4
241,1,14,10,0.05,26,71,2418,6356,146.423,14689.2
242,1,14,10,0.075,26,56,1707,4448,117.205,10317.3
243,1,14,10,0.1,26,50,1578,3824,105.665,8967.05
244,1,14,10,0.125,26,48,1177,3038,101.139,7173.38
245,1,14,10,0.15,26,44,1124,2770,93.2394,6563.74
246,1,14,10,0.175,26,41,888,2336,89.1644,5509.89
247,1,14,10,0.2,26,40,854,2170,86.4923,5163.18
248,1,14,10,0.225,28,42,758,1960,92.0369,4631.55
249,1,14,10,0.25,26,37,744,1862,81.1648,4406.35
250,0,14,10,0.275,0,0,511,1372,66.7019,3148.12
251,1,14,10,0.3,27,38,654,1638,82.2336,3894.19
252,1,14,10,0.325,27,39,652,1540,84.8723,3756.07
253,1,14,10,0.35,26,38,580,1414,82.9016,3429.37
254,1,14,10,0.375,27,35,503,1302,78.693,3156.19
255,1,14,10,0.4,26,35,515,1302,76.7224,3160.59
256,1,14,10,0.425,25,35,483,1204,77.4405,2922.6
257,1,14,10,0.45,27,35,456,1190,78.1252,2883.19
258,1,14,10,0.475,28,35,452,1162,77.5908,2786.22
259,0,14,10,0.5,0,0,339,910,57.5332,2108.71
260,0,14,10,0.525,0,0,326,854,61.6917,1979.2
261,0,14,10,0.55,0,0,321,840,58.7357,1952.31
262,0,14,10,0.575,0,0,188,616,39.2292,1379.26
263,0,14,10,0.6,0,0,292,770,59.5874,1790.86
264,0,14,10,0.625,0,0,298,784,60.1719,1849.42
265,0,14,10,0.65,0,0,273,756,56.7316,1770.3
266,0,14,10,0.675,0,0,143,490,36.3567,1074.37
267,0,14,10,0.7,0,0,142,476,36.3734,1047.54
268,0,14,10,0.725,0,0,119,378,30.2108,838.213
269,0,14,10,0.75,0,0,95,350,22.8124,754.177
270,0,14,10,0.775,0,0,91,336,23.2466,734.293
271,0,14,10,0.8,0,0,129,448,30.2108,973.558
272,0,14,10,0.825,0,0,88,322,18.8209,700.812
273,0,14,10,0.85,0,0,78,308,18.7207,660.056
274,0,14,10,0.875,0,0,18,154,9.10144,315.608
275,0,14,10,0.9,0,0,18,154,9.10144,315.608
276,0,14,10,0.925,0,0,18,154,9.10144,315.608
277,0,14,10,0.95,0,0,19,154,9.10144,315.608
278,0,14,10,0.975,0,0,19,154,9.10144,315.608
279,0,14,10,1,0,0,19,154,9.10144,315.608
280,1,16,10,0.025,26,77,4048,9970,163.917,23646.7
281,1,16,10,0.05,26,68,2984,7490,145.789,17553.6
282,1,16,10,0.075,26,56,1969,5024,121.848,11778.5
283,1,16,10,0.1,26,52,1789,4432,111.042,10390.1
284,1,16,10,0.125,26,46,1286,3392,99.6859,7894.76
285,1,16,10,0.15,25,48,1240,3184,103.11,7441.96
286,1,16,10,0.175,26,43,1112,2736,91.9868,6494.65
287,1,16,10,0.2,26,40,1017,2544,87.4609,6046.75
288,1,16,10,0.225,27,42,895,2192,91.9367,5196.99
289,1,16,10,0.25,27,41,793,2032,88.5799,4762.34
290,1,16,10,0.275,27,38,738,1824,81.8829,4368.43
291,0,16,10,0.3,0,0,512,1456,67.6372,3292.32
292,1,16,10,0.325,26,38,697,1728,85.2397,4178.73
293,1,16,10,0.35,26,38,658,1648,85.223,3956.12
294,1,16,10,0.375,26,40,650,1552,86.8096,3746.17
295,1,16,10,0.4,27,36,576,1488,80.3631,3613.83
296,0,16,10,0.425,0,0,150,576,22.9126,1213.99
297,0,16,10,0.45,0,0,147,560,25.0002,1188.69
298,0,16,10,0.475,0,0,149,560,25.4845,1196.08
299,0,16,10,0.5,0,0,143,544,24.5325,1132.77
300,0,16,10,0.525,0,0,125,496,24.4156,1037.81
301,0,16,10,0.55,0,0,120,464,22.2946,961.333
302,0,16,10,0.575,0,0,110,448,22.2946,937.986
303,0,16,10,0.6,0,0,108,432,22.2946,897.616
304,0,16,10,0.625,0,0,122,416,22.2946,886.762
305,0,16,10,0.65,0,0,102,400,22.8625,846.391
306,0,16,10,0.675,0,0,102,400,22.8458,835.839
307,0,16,10,0.7,0,0,102,400,22.8458,835.839
308,0,16,10,0.725,0,0,122,400,23.28,857.161
309,0,16,10,0.75,0,0,94,368,23.28,771.018
310,0,16,10,0.775,0,0,95,368,25.2674,772.824
311,0,16,10,0.8,0,0,96,368,21.2258,769.078
312,0,16,10,0.825,0,0,91,352,19.2551,752.572
313,0,16,10,0.85,0,0,93,352,19.2551,757.689
314,0,16,10,0.875,0,0,83,336,19.2551,726.984
315,0,16,10,0.9,0,0,79,320,19.2551,686.614
316,0,16,10,0.925,0,0,23,176,9.15154,357.29
317,0,16,10,0.95,0,0,23,176,9.15154,357.29
318,0,16,10,0.975,0,0,23,176,9.15154,357.29
319,0,16,10,1,0,0,23,176,9.15154,357.29
320,1,18,10,0.025,26,78,5087,12452,171.763,30358.2
321,1,18,10,0.05,26,68,3680,9320,149.144,22404.1
322,1,18,10,0.075,26,50,2466,6260,109.422,14741.4
323,1,18,10,0.1,26,47,2222,5558,103.31,13162.4
324,1,18,10,0.125,26,42,1670,4280,93.3396,10169.8
325,1,18,10,0.15,25,43,1566,3980,97.1975,9541.35
326,1,18,10,0.175,26,41,1343,3360,93.206,8063.74
327,1,18,10,0.2,26,39,1252,3100,87.3607,7451.05
328,1,18,10,0.225,25,41,1136,2800,92.1204,6791.42
329,1,18,10,0.25,26,40,950,2460,89.5485,5865.23
330,1,18,10,0.275,27,37,903,2320,83.3359,5540.75
331,1,18,10,0.3,26,37,858,2204,83.1855,5353.11
332,1,18,10,0.325,28,38,866,2140,86.6259,5146.98
333,1,18,10,0.35,26,36,822,2020,80.4633,4844.92
334,0,18,10,0.375,0,0,400,1200,50.4855,2725.83
335,1,18,10,0.4,27,34,706,1840,79.1106,4468.81
336,1,18,10,0.425,26,33,635,1660,75.9875,4034.79
337,1,18,10,0.45,26,34,640,1620,78.6596,4002.4
338,1,18,10,0.475,26,34,596,1520,77.4572,3675.04
339,0,18,10,0.5,0,0,550,1400,71.2111,3360.84
340,1,18,10,0.525,26,34,559,1460,77.8079,3530.22
341,0,18,10,0.55,0,0,525,1340,72.28,3276.6
342,0,18,10,0.575,0,0,484,1280,75.2026,3170.2
343,0,18,10,0.6,0,0,469,1220,75.3696,3020.6
344,0,18,10,0.625,0,0,501,1240,72.8144,3094.98
345,0,18,10,0.65,0,0,468,1200,72.8144,3003.29
346,0,18,10,0.675,0,0,440,1160,72.2299,2876.63
347,0,18,10,0.7,0,0,474,1200,70.2926,2996.07
348,0,18,10,0.725,0,0,252,720,42.3355,1616.48
349,0,18,10,0.75,0,0,222,700,43.1372,1574.09
350,0,18,10,0.775,0,0,212,680,43.5881,1558.97
351,0,18,10,0.8,0,0,213,680,39.3461,1554.05
352,0,18,10,0.825,0,0,202,640,36.9412,1463.06
353,0,18,10,0.85,0,0,203,640,36.9412,1469.38
354,0,18,10,0.875,0,0,188,620,36.9245,1436.67
355,0,18,10,0.9,0,0,183,600,36.9245,1383.92
356,0,18,10,0.925,0,0,30,220,9.41874,453.509
357,0,18,10,0.95,0,0,30,220,9.41874,453.509
358,0,18,10,0.975,0,0,30,220,9.41874,453.509
359,0,18,10,1,0,0,30,220,9.41874,453.509
360,1,20,10,0.025,26,76,4259,11544,162.298,26781.5
361,1,20,10,0.05,26,65,3407,9020,139.729,21025.2
362,1,20,10,0.075,26,53,2427,6270,114.132,14641.8
363,1,20,10,0.1,26,48,1995,5420,102.158,12489.4
364,1,20,10,0.125,26,45,1667,4400,98.283,10306.6
365,1,20,10,0.15,26,45,1459,3940,96.2288,9149.42
366,1,20,10,0.175,26,44,1291,3460,100.187,8209.26
367,1,20,10,0.2,26,42,1262,3200,93.3396,7610.24
368,1,20,10,0.225,26,41,1020,2700,90.3335,6318.5
369,1,20,10,0.25,26,40,951,2560,89.131,5999.82
370,1,20,10,0.275,25,39,906,2380,87.2939,5669.91
371,1,20,10,0.3,25,36,838,2260,79.4947,5330.79
372,1,20,10,0.325,28,38,806,2140,84.2878,5062.89
373,1,20,10,0.35,25,37,774,2020,83.8536,4831.19
374,1,20,10,0.375,24,36,696,1840,81.599,4429.43
375,0,20,10,0.4,0,0,538,1500,66.251,3445.94
376,0,20,10,0.425,0,0,346,1120,42.9869,2440.88
377,1,20,10,0.45,26,34,637,1740,76.3382,4187.44
378,1,20,10,0.475,26,35,640,1700,78.0417,4075.28
379,0,20,10,0.5,0,0,445,1300,59.0029,3032.64
380,1,20,10,0.525,26,35,568,1520,77.5073,3678.59
381,0,20,10,0.55,0,0,148,600,24.8666,1229.85
382,0,20,10,0.575,0,0,136,560,22.7957,1155.04
383,0,20,10,0.6,0,0,132,540,22.7957,1110.79
384,0,20,10,0.625,0,0,124,520,22.7957,1070.76
385,0,20,10,0.65,0,0,148,520,23.0295,1102.25
386,0,20,10,0.675,0,0,121,500,23.1631,1030.45
387,0,20,10,0.7,0,0,121,500,23.4637,1037.07
388,0,20,10,0.725,0,0,120,480,23.4637,999.496
389,0,20,10,0.75,0,0,122,480,23.4637,999.496
390,0,20,10,0.775,0,0,138,520,25.6849,1092.83
391,0,20,10,0.8,0,0,133,500,25.6181,1049.28
392,0,20,10,0.825,0,0,118,480,25.0336,997.84
393,0,20,10,0.85,0,0,325,960,53.3914,2253.63
394,0,20,10,0.875,0,0,430,1140,68.6392,2792.91
395,0,20,10,0.9,0,0,111,440,20.9085,930.963
396,0,20,10,0.925,0,0,99,420,20.8584,882.263
397,0,20,10,0.95,0,0,101,420,20.7248,879.32
398,0,20,10,0.975,0,0,26,220,9.15154,439.153
399,0,20,10,1,0,0,26,220,9.15154,439.153
400,1,22,10,0.025,27,67,5127,13646,145.121,32187.8
401,1,22,10,0.05,29,63,4303,11106,143.568,26510.6
402,1,22,10,0.075,27,49,2772,7416,109.038,17265.5
403,1,22,10,0.1,26,48,2575,6648,105.982,15670.6
404,1,22,10,0.125,26,46,2002,5232,104.279,12236.9
405,1,22,10,0.15,26,42,1864,4680,92.3376,11049.4
406,1,22,10,0.175,26,42,1608,4080,95.3771,9702.38
407,1,22,10,0.2,26,39,1488,3792,90.7176,9093.34
408,1,22,10,0.225,25,40,1277,3216,90.9347,7722.33
409,1,22,10,0.25,26,41,1186,3096,92.3376,7411.78
410,1,22,10,0.275,26,38,1151,2856,86.0915,6852.49
411,1,22,10,0.3,26,36,1093,2784,82.7346,6738.66
412,1,22,10,0.325,26,37,940,2448,83.6365,5882.61
413,1,22,10,0.35,24,37,895,2352,86.2251,5736.52
414,1,22,10,0.375,26,37,860,2280,84.8222,5449.88
415,1,22,10,0.4,25,36,840,2280,82.9684,5466.79
416,0,22,10,0.425,0,0,607,1728,59.1031,3939.57
417,1,22,10,0.45,27,33,754,2064,75.904,4918.48
418,1,22,10,0.475,26,34,779,1992,75.4364,4787.76
419,1,22,10,0.5,27,36,701,1872,80.1293,4534.65
420,1,22,10,0.525,27,35,649,1752,77.8914,4205.03
