id,completed,falls,jumps,time,totalTime,nick
0,1,7,75,330.0471191,330.0471191,adkrz
1,1,110,675,1857.485229,1857.485229,dafab
2,1,51,413,858.1645508,858.1645508,igkor
3,1,36,250,689.8913574,689.8913574,jabak
4,1,105,642,1536.99353,1536.99353,jabar
5,1,128,874,2292.77417,2292.77417,kacic
6,1,98,673,1643.924438,1643.924438,kapro
7,1,26,199,447.6835022,447.6835022,katyl
8,1,107,608,2247.236084,2247.236084,klsam
9,1,73,466,1246.320068,1246.320068,krnie
10,1,132,772,2213.534912,2213.534912,mabol
11,1,12,93,226.5164185,226.5164185,mafra
12,1,91,647,1657.374756,1657.374756,makoz
13,1,1,31,55.42891312,55.42891312,maput
14,1,54,372,821.5565186,821.5565186,mawlo
15,1,66,405,756.9364014,756.9364014,mikar
16,1,25,170,352.6996765,352.6996765,miput
17,1,96,598,2849.374756,2849.374756,moput
18,1,12,94,477.8646545,477.8646545,nasta
19,1,102,679,1278.212036,1278.212036,papas
20,1,22,142,403.0628052,403.0628052,paput
21,1,83,677,1895.966309,1895.966309,prmar
22,1,61,293,907.4825439,907.4825439,rarad
23,1,85,558,1653.406738,1653.406738,szsta
24,0,171,1249,3486.326904,3486.326904,kukra
25,0,79,431,1137.516113,1137.516113,zephy